No tarea,tipo,Territorio,Gestor,Estado,Localidad,folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,folio,FCO,dias
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,54,E11531_BP Valle de las Palmas,,158409,LIBRE,31/03/2020,14:11:56,1154542,32.473003,-116.745514,-,-,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200100123,05/04/2020,Gana dinero pidiendo información de un crédito del banco_1,5142,BA PRESTA PRENDA GUAYCURA TIJUANA,,70835,LIBRE,,,1154892,32.506395,-116.917389,200100123,05/04/2020,1
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,LOS CABOS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6622,BA MEGA SAN JOSE DEL CABO,,33207,LIBRE,31/03/2020,12:58:22,1154062,23.057865,-109.70374,200300661,24/04/2020,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,PAZ LA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5116,BA EKT LA PAZ FORJADORES (5116),,118888,LIBRE,31/03/2020,12:56:49,1153437,24.138177,-110.31234,200300661,24/04/2020,2
1,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,PAZ LA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5429,BA MEGA LA PAZ OCAMPO (5429),,118890,LIBRE,31/03/2020,12:56:50,1153453,24.158091,-110.316588,200300661,24/04/2020,2
1,Libre,Sur,Sur 1,CAMPECHE,CALKINI,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6103,BA EKT CAMPECHE CALKINI (6103),,120427,LIBRE,31/03/2020,12:56:50,1153514,20.371163,-90.050267,200300661,24/04/2020,2
1,Libre,Sur,Sur 1,CAMPECHE,CAMPECHE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,196,BA EKT CAMPECHE ALAMEDA (196),,119431,LIBRE,31/03/2020,12:56:48,1153219,19.841053,-90.535337,200300661,24/04/2020,2
1,Libre,Sur,Sur 1,CAMPECHE,CAMPECHE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2516,BA MEGA CAMPECHE BLVD49 (2516),,119430,LIBRE,31/03/2020,12:56:49,1153316,19.844976,-90.53329,200300661,24/04/2020,2
1,Libre,Sur,Sur 1,CAMPECHE,CAMPECHE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4015,BA PRESTA PRENDA PATRICIO TRUEBA CAMPECHE (4015),,118321,LIBRE,31/03/2020,12:57:51,1153826,19.829597,-90.535027,200300661,24/04/2020,2
1,Libre,Sur,Sur 1,CAMPECHE,CAMPECHE,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5296,BA PRESTA PRENDA CAMPECHE NL (5296),,118355,LIBRE,31/03/2020,12:57:51,1153886,19.845705,-90.53456,200300661,24/04/2020,2
1,Libre,Sur,Sur 1,CAMPECHE,CARMEN,200300654,24/04/2020,Durante ABRIL recorre los pasillos de un Minisuper y gana dinero,1256,1256 - Tienda Neto-Ixmiquilpan,,11657,LIBRE,30/03/2020,11:19:32,1151875,20.485128,-99.21444,200300654,24/04/2020,3
1,Libre,Sur,Sur 1,CAMPECHE,CARMEN,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1449,BA EKT CD DEL CARMEN (1449),,119362,LIBRE,31/03/2020,12:56:48,1153185,18.638456,-91.836075,200300661,24/04/2020,2
1,Libre,Sur,Sur 1,CAMPECHE,CARMEN,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6761,BA MEGA CD DEL CARMEN (6761),,119363,LIBRE,31/03/2020,12:56:50,1153556,18.63881,-91.835526,200300661,24/04/2020,2
2,Libre,Sur,Sur 1,CAMPECHE,CARMEN,-,-,En Abril Upaxer te regala gasolina 2020,326,E10464_BP Atasta,,158565,LIBRE,31/03/2020,14:11:54,1154364,18.617222,-92.205358,-,-,2
2,Libre,Sur,Sur 1,CAMPECHE,CHAMPOTON,-,-,En Abril Upaxer te regala gasolina 2020,284,E06919_BP Las Brisas,,158536,LIBRE,31/03/2020,14:11:54,1154329,19.336699,-90.73506,-,-,2
1,Libre,Sur,Sur 1,CAMPECHE,ESCARCEGA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,8285,BA EKT CANDELARIA (8285),,119872,LIBRE,31/03/2020,12:56:51,1153608,18.183537,-91.04576,200300661,24/04/2020,2
2,Libre,Sur,Sur 1,CAMPECHE,ESCARCEGA,-,-,En Abril Upaxer te regala gasolina 2020,305,E00375_BP Escárcega,,158551,LIBRE,31/03/2020,14:11:54,1154349,18.608573,-90.74678,-,-,2
2,Libre,Sur,Sur 1,CAMPECHE,TENABO,-,-,En Abril Upaxer te regala gasolina 2020,335,E07264_BP Tenabo,,158573,LIBRE,31/03/2020,14:11:54,1154370,20.030846,-90.223688,-,-,2
1,Libre,Sur,Sur 2,CHIAPAS,ARRIAGA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,8651,BA EKT ARRIAGA (8651),,120986,LIBRE,31/03/2020,12:56:51,1153623,16.233325,-93.895663,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,BOCHIL,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1265,DAZ BOCHIL (1265),,118228,LIBRE,31/03/2020,12:57:51,1153776,16.995014,-92.89203,200300661,24/04/2020,2
1,Libre,Sur,Sur 2,CHIAPAS,CACAHOATAN,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9856,DAZ CACAHOTAN CHIAPAS (9856),,121258,LIBRE,31/03/2020,12:57:51,1154011,14.989923,-92.16704,200300661,24/04/2020,2
