id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores,c,p
116954,PAX 116954,Verde [< 180 Días],18.97364908,-98.23967692,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72495,MEXICO
117651,PAX 117651,Verde [< 180 Días],18.97464908,-98.23867692,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72495,MEXICO
119279,PAX 119279,Verde [< 180 Días],18.97564908,-98.23767692,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72495,MEXICO
107183,PAX 107183,Verde [< 180 Días],19.14486544,-98.24154145,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72710,MEXICO
116794,PAX 116794,Verde [< 180 Días],19.01093715,-98.24039987,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72460,MEXICO
107165,PAX 107165,Verde [< 180 Días],19.03395984,-98.23979715,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72197,MEXICO
108097,PAX 108097,Verde [< 180 Días],19.03495984,-98.23879715,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72197,MEXICO
116639,PAX 116639,Verde [< 180 Días],19.03595984,-98.23779715,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72197,MEXICO
117506,PAX 117506,Verde [< 180 Días],19.03695984,-98.23679715,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72197,MEXICO
119015,PAX 119015,Verde [< 180 Días],19.03795984,-98.23579715,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72197,MEXICO
106699,PAX 106699,Verde [< 180 Días],19.03615962,-98.24076155,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72190,MEXICO
108938,PAX 108938,Verde [< 180 Días],19.03715962,-98.23976155,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72190,MEXICO
117180,PAX 117180,Verde [< 180 Días],19.03815962,-98.23876155,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72190,MEXICO
117744,PAX 117744,Verde [< 180 Días],19.319093,-98.238907,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90003,MEXICO
