id,nombre,concat,edo,mun,latitude,longitude,tipo
897,Independencia,897 - Independencia,México,Valle de Chalco Solidaridad,19.295239,-98.930487,NETO
898,Parque Industrial Izcalli,898 - Parque Industrial Izcalli,México,Nezahualcóyotl,19.385872,-98.97577,NETO
899,Arenal,899 - Arenal,Ciudad de México,Venustiano Carranza,19.42657,-99.056298,NETO
901,ELEKTRA REMATE CUAUTITLAN,901 - ELEKTRA REMATE CUAUTITLAN,México,Cuautitlán,19.674247,-99.182313,Banco Azteca
902,Tezontle,902 - Tezontle,Ciudad de México,Iztapalapa,19.383837,-99.09193,NETO
903,BA EKT ERMITA 1 LA VIGA,903 - BA EKT ERMITA 1 LA VIGA,Ciudad de México,Iztapalapa,19.358111,-99.122168,Banco Azteca
904,Escuinapa,904 - Escuinapa,Ciudad de México,Coyoacán,19.331633,-99.169174,NETO
907,Trinidad,907 - Trinidad,México,Nezahualcóyotl,19.38605,-99.02474,NETO
908,Tlatilco 2,908 - Tlatilco 2,Ciudad de México,Azcapotzalco,19.461787,-99.163155,NETO
909,Tulyehualco,909 - Tulyehualco,Ciudad de México,Xochimilco,19.256094,-99.01408,NETO
914,Huayatla,914 - Huayatla,Ciudad de México,La Magdalena Contreras,19.310055,-99.26245,NETO
915,Nuevo Necaxa,915 - Nuevo Necaxa,Puebla,Juan Galindo,20.2112,-98.002751,NETO
920,Nuevo Pachuca,920 - Nuevo Pachuca,Hidalgo,Pachuca de Soto,20.063578,-98.7772,NETO
921,Panamericana,921 - Panamericana,Ciudad de México,Gustavo A. Madero,19.476882,-99.145137,NETO
922,Tuxpan,922 - Tuxpan,Nayarit,Tuxpan,21.944207,-105.299488,NETO
923,Azcapotzalco,923 - Azcapotzalco,Ciudad de México,Azcapotzalco,19.483381,-99.186844,NETO
926,Agustín Lara,926 - Agustín Lara,Ciudad de México,Gustavo A. Madero,19.561094,-99.139687,NETO
927,5 De Febrero,927 - 5 De Febrero,México,Ecatepec de Morelos,19.538834,-99.076075,NETO
930,Huajuapan,930 - Huajuapan,Oaxaca,Heroica Ciudad de Huajuapan de León,17.806456,-97.777023,NETO
933,DAZ FRAY SERVANDO TERESA MIER,933 - DAZ FRAY SERVANDO TERESA MIER,Ciudad de México,Venustiano Carranza,19.418254,-99.106351,Banco Azteca
934,DAZ GUERRERO DF,934 - DAZ GUERRERO DF,Ciudad de México,Cuauhtémoc,19.444563,-99.143915,Banco Azteca
940,Tasquillo,940 - Tasquillo,Hidalgo,Tasquillo,20.54253,-99.312645,NETO
942,San Juan Del Rio,942 - San Juan Del Rio,Querétaro,San Juan del Río,20.391385,-99.99514,NETO
949,Valparaiso,949 - Valparaiso,Zacatecas,Valparaíso,22.770908,-103.569725,NETO
950,DAZ CASTAÑOS COAHUILA,950 - DAZ CASTAÑOS COAHUILA,Coahuila de Zaragoza,Castaños,26.78378392,-101.4273876,Banco Azteca
951,Ezequiel Montes,951 - Ezequiel Montes,Querétaro,Ezequiel Montes,20.663689,-99.899608,NETO
952,San Martin Texmelucan,952 - San Martin Texmelucan,Puebla,San Martín Texmelucan,19.284735,-98.43752,NETO
953,San Pedro,953 - San Pedro,México,Chimalhuacán,19.418537,-98.946365,NETO
954,DAZ ACAPULCO FARALLON,954 - DAZ ACAPULCO FARALLON,Guerrero,Acapulco de Juárez,16.857743,-99.868498,Banco Azteca
954,Prados Norte,954 - Prados Norte,México,Tultitlán,19.686354,-99.09095,NETO
955,Providencia,955 - Providencia,Hidalgo,Mineral de la Reforma,20.064055,-98.717129,NETO
957,Maria Isabel,957 - Maria Isabel,México,Valle de Chalco Solidaridad,19.295053,-98.95498,NETO
960,Dos Arbolitos,960 - Dos Arbolitos,México,Nezahualcóyotl,19.410078,-99.00943,NETO
962,Norte 9,962 - Norte 9,México,Valle de Chalco Solidaridad,19.292067,-98.940575,NETO
972,DAZ CD CONSTITUCION,972 - DAZ CD CONSTITUCION,Baja California Sur,Comondú,25.030927,-111.672844,Banco Azteca
973,Manuel Zarate (Cuajinicuilapa),973 - Manuel Zarate (Cuajinicuilapa),Guerrero,Cuajinicuilapa,16.472571,-98.416052,NETO
974,BA MEGA APASEO EL GRANDE,974 - BA MEGA APASEO EL GRANDE,Guanajuato,Apaseo el Grande,20.545742,-100.688433,Banco Azteca
975,Renacimiento,975 - Renacimiento,Guerrero,Acapulco de Juárez,16.891974,-99.824554,NETO
976,Teloloapan,976 - Teloloapan,Guerrero,Teloloapan,18.367294,-99.87156,NETO
977,Pie De La Cuesta,977 - Pie De La Cuesta,Guerrero,Acapulco de Juárez,16.89814,-99.96202,NETO
979,Geo Terranova,979 - Geo Terranova,México,Acolman,19.606081,-98.97372,NETO
983,San Fernando,983 - San Fernando,México,Huixquilucan,19.384798,-99.283587,NETO
985,BA PRESTA PRENDA VALLE DE GUADALUPE,985 - BA PRESTA PRENDA VALLE DE GUADALUPE,México,Ecatepec de Morelos,19.508301,-99.060603,Banco Azteca
986,BA PRESTA PRENDA PACHUCA PLAZA INDEP,986 - BA PRESTA PRENDA PACHUCA PLAZA INDEP,Hidalgo,Pachuca de Soto,20.127538,-98.731332,Banco Azteca
987,BA MEGA VALLE DE CHALCO,987 - BA MEGA VALLE DE CHALCO,México,Valle de Chalco Solidaridad,19.277625,-98.942388,Banco Azteca
990,BA MEGA PARRAL,990 - BA MEGA PARRAL,Chihuahua,Hidalgo del Parral,26.933499,-105.663959,Banco Azteca
993,Los Pájaros,993 - Los Pájaros,México,Nicolás Romero,19.601345,-99.281746,NETO
994,Virgencitas,994 - Virgencitas,México,Nezahualcóyotl,19.420525,-99.031975,NETO
996,Cruz Grande 2,996 - Cruz Grande 2,Guerrero,Florencio Villarreal,16.718855,-99.12374,NETO
998,Chilapa,998 - Chilapa,Guerrero,Chilapa de Álvarez,17.592724,-99.179506,NETO
