No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,SUCHIATE,19120048,20/12/2019,En Diciembre descubre cuánto vale tu prenda de Oro,2078,BA EKT CHIAPAS CD HIDALGO (2078),PAX64529,119379,ASIGNADA POR SISTEMA,10/12/2019,11:06:15,1080755,14.678709,-92.150634,19120048,20/12/2019,0
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,SUCHIATE,19100095,20/12/2019,Realiza un depósito a una cuenta  y cambia un billete y di que tienes una Moneda de 50 pesos,2078,BA EKT CHIAPAS CD HIDALGO,PAX64529,69800,ASIGNADA POR SISTEMA,10/12/2019,11:20:08,1087758,14.678709,-92.150634,19100095,20/12/2019,0
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,TAPACHULA,19100079,20/12/2019,Gana dinero pidiendo información de un crédito en un banco 4-2019,1492,BA EKT TAPACHULA PALOMAS,PAX64529,69799,ASIGNADA POR SISTEMA,10/12/2019,11:19:15,1088255,14.894922,-92.27621,19100079,20/12/2019,0
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,TAPACHULA,19100095,20/12/2019,Realiza un retiro de cuneta  y cambia un billete y di que tienes una Moneda de 1000 del año 1989,6011,BA EKT TAPACHULA CHIAPAS,PAX87858,69803,ASIGNADA POR SISTEMA,20/11/2019,19:29:21,1070205,14.915842,-92.266243,19100095,20/12/2019,20
3,Sin Terminar,Sur,Natali,CHIAPAS,TUXTLA GUTIERREZ,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2201,2201- Creditos Alternativos Crea SA de CV,PAX106897,157491,ASIGNADA POR SISTEMA,26/11/2019,14:07:56,1065886,16.752508,-93.17082,19071665,30/09/2019,14
3,Sin Terminar,Sur,Natali,CHIAPAS,TUXTLA GUTIERREZ,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2847,2847-MOTOTECNIA SERVICIO Y REFACCIONES,PAX106897,105804,ASIGNADA POR SISTEMA,26/11/2019,14:06:40,1065799,16.75294,-93.107888,19071665,30/09/2019,14
3,Sin Terminar,Sur,Natali,CHIAPAS,TUXTLA GUTIERREZ,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2977,2977-SERVICIOS INTEGRALES FINANCIEROS COMITLAN SA DE CV,PAX106897,105870,ASIGNADA POR SISTEMA,26/11/2019,14:07:56,1065821,16.752693,-93.109985,19071665,30/09/2019,14
3,Sin Terminar,Sur,Natali,CHIAPAS,TUXTLA GUTIERREZ,19071665,30/09/2019,Este año sé El Motociclista Misterioso,3455,3455-MOTO SERVICIO RAMOS,PAX106897,105964,ASIGNADA POR SISTEMA,26/11/2019,14:07:56,1065842,16.77953,-93.11587,19071665,30/09/2019,14
1,Sin Terminar,Norte,Omar Lopez,CHIHUAHUA,ALDAMA,19120048,20/12/2019,En Diciembre descubre cuánto vale tu prenda de Oro,4603,DAZ ALDAMA (4603),PAX89605,118082,TOMADA POR USUARIO,09/12/2019,10:35:37,1086103,28.837088,-105.91244,19120048,20/12/2019,1
1,Sin Terminar,Norte,Omar Lopez,CHIHUAHUA,CHIHUAHUA,19120035,20/12/2019,En Diciembre y Enero recorre los pasillos de una tienda departamental,4938,EKT - CHIHUAHUA NINOS HEROES,PAX107675,366,TOMADA POR USUARIO,09/12/2019,16:27:26,1088163,28.639647,-106.07431,19120035,20/12/2019,1
3,Sin Terminar,Norte,Isai ,CHIHUAHUA,CHIHUAHUA,19071665,30/09/2019,Este año sé El Motociclista Misterioso,4571,4571 - Moto Refacciones del Norte,alirae,157882,ASIGNADA POR SISTEMA,25/11/2019,14:32:51,1076967,28.66319,-106.09595,19071665,30/09/2019,15
2,Sin Terminar,Norte,Omar Lopez,CHIHUAHUA,CHIHUAHUA,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,502,E03296_BP Villa,PAX89605,177780,TOMADA POR USUARIO,09/12/2019,10:35:24,1087888,28.658619,-106.100741,19112383,20/12/2019,1
3,Sin Terminar,Norte,Omar Lopez,CHIHUAHUA,CUAUHTEMOC,19081847,30/09/2019,Este año Evalúa valida y gana en un Taller 2019,4808,4808 DAVID THIESSEN BERGEN,PAX77802,174860,ASIGNADA POR SISTEMA,06/12/2019,15:17:18,1031232,28.571367,-106.913662,19081847,30/09/2019,4
3,Sin Terminar,Norte,Isai ,CHIHUAHUA,CUAUHTEMOC,19071665,30/09/2019,Este año sé El Motociclista Misterioso,4525,4525 YRENE LEAL CERVANTES,alirae,81683,ASIGNADA POR SISTEMA,25/11/2019,14:32:51,1076965,28.398046,-106.8696,19071665,30/09/2019,15
