No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,LOS CABOS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,7582,BA EKT ESTACIONAMIENTO CABO SAN LUCAS (7582),PAX104586,118893,TOMADA POR USUARIO,01/04/2020,15:46:08,1153590,22.893678,-109.916088,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,LOS CABOS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9970,PRESTA PRENDA PATIO CABO SAN LUCAS (9970),PAX104586,123254,TOMADA POR USUARIO,01/04/2020,15:45:52,1154023,22.90418,-109.933304,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,LOS CABOS,200100123,05/04/2020,Gana dinero pidiendo información de un crédito del banco_1,7582,BA EKT ESTACIONAMIENTO CABO SAN LUCAS,PAX51424,33208,TOMADA POR USUARIO,01/04/2020,11:39:45,1152841,22.894262,-109.9163,200100123,05/04/2020,1
2,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,PAZ LA,-,-,En Abril Upaxer te regala gasolina 2020,477,E10082_BP 5 De Febrero,PAX87696,174179,TOMADA POR USUARIO,01/04/2020,17:03:17,1154698,19.304926,-99.20386,-,-,1
2,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,PAZ LA,-,-,En Abril Upaxer te regala gasolina 2020,481,E12374_BP Libramiento,PAX87696,174183,TOMADA POR USUARIO,01/04/2020,17:02:59,1154699,19.305231,-99.20376,-,-,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,PAZ LA,200100123,05/04/2020,Gana dinero pidiendo información de un crédito del banco_1,5429,BA MEGA LA PAZ OCAMPO,PAX69567,69406,TOMADA POR USUARIO,31/03/2020,15:51:39,1154650,24.15809,-110.31659,200100123,05/04/2020,2
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA SUR,PAZ LA,200100125,05/04/2020,Haz un trámite en la caja del banco y gana dinero_1,5116,BA EKT LA PAZ FORJADORES,PAX69567,25696,ASIGNADA POR SISTEMA,30/03/2020,19:45:50,1153010,24.138184,-110.312675,200100125,05/04/2020,3
2,Sin Terminar,Sur,Sur 1,CAMPECHE,CAMPECHE,-,-,En Abril Upaxer te regala gasolina 2020,283,E07156_BP Costera,PAX5797,158535,TOMADA POR USUARIO,01/04/2020,13:56:26,1154328,19.858168,-90.521286,-,-,1
2,Sin Terminar,Sur,Sur 1,CAMPECHE,CAMPECHE,-,-,En Abril Upaxer te regala gasolina 2020,289,E02778_BP Universidad,PAX5797,158540,TOMADA POR USUARIO,01/04/2020,13:58:54,1154711,19.831366,-90.55813,-,-,1
2,Sin Terminar,Sur,Sur 1,CAMPECHE,CAMPECHE,-,-,En Abril Upaxer te regala gasolina 2020,304,E00365_BP Baluartes,PAX5797,158550,TOMADA POR USUARIO,01/04/2020,13:58:07,1154348,19.840281,-90.538717,-,-,1
2,Sin Terminar,Sur,Sur 1,CAMPECHE,CAMPECHE,-,-,En Abril Upaxer te regala gasolina 2020,310,E00367_BP San Pedro,PAX5797,158552,TOMADA POR USUARIO,01/04/2020,13:57:05,1154355,19.843423,-90.530506,-,-,1
2,Sin Terminar,Sur,Sur 1,CAMPECHE,CARMEN,-,-,En Abril Upaxer te regala gasolina 2020,286,E05694_BP Cruz Blanco,PAX103422,158537,TOMADA POR USUARIO,01/04/2020,14:18:52,1154331,18.61137,-90.78927,-,-,1
