id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores
104151,PAX 104151,Solo Conekta,21.92989897,-102.294035,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
102438,PAX 102438,Solo Conekta,21.84684065,-102.2927529,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102842,PAX 102842,Solo Conekta,21.99122651,-102.2926343,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
102285,PAX 102285,Solo Conekta,21.87451448,-102.2883407,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
105200,PAX 105200,Solo Conekta,19.9758951,-102.2799876,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
104152,PAX 104152,Solo Conekta,21.86896758,-102.2770783,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
21661,PAX 21661,Solo Conekta,19.98691418,-102.2732755,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
105027,PAX 105027,Solo Conekta,19.98587567,-102.2698693,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102163,PAX 102163,Solo Conekta,21.85487901,-102.2612133,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104653,PAX 104653,Solo Conekta,21.87218693,-102.2584982,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
103366,PAX 103366,Solo Conekta,21.90382284,-102.2554765,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
105196,PAX 105196,Solo Conekta,19.99002712,-102.2513082,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102300,PAX 102300,Solo Conekta,21.88513437,-102.241468,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104391,PAX 104391,Solo Conekta,21.88613437,-102.240468,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
62745,PAX 62745,Solo Conekta,17.9650534,-102.1972174,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102721,PAX 102721,Solo Conekta,19.39811498,-102.0634745,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
102952,PAX 102952,Solo Conekta,19.39911498,-102.0624745,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
94654,PAX 94654,Solo Conekta,20.33838671,-102.0349093,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
95339,PAX 95339,Solo Conekta,19.41262822,-102.0128742,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
85518,PAX 85518,Solo Conekta,21.36494383,-101.9109098,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104529,PAX 104529,Solo Conekta,21.13324895,-101.7207504,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
97845,PAX 97845,Solo Conekta,20.43163554,-101.7209452,DIC [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
104958,PAX 104958,Solo Conekta,21.11876754,-101.7210841,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102885,PAX 102885,Solo Conekta,19.21018035,-101.703591,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
103213,PAX 103213,Solo Conekta,21.14938058,-101.6876978,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
103249,PAX 103249,Solo Conekta,21.16082768,-101.682973,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
103414,PAX 103414,Solo Conekta,21.16182768,-101.681973,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
